iter	RMSE
0	3.192407444
1	3.133989682
2	3.075770402
3	3.021738278
4	2.970617362
5	2.920345793
6	2.872183844
7	2.825026703
8	2.780506556
9	2.736831877
10	2.697863485
11	2.657422184
12	2.616577251
13	2.58335651
14	2.548663064
15	2.516444677
16	2.483770183
17	2.452040648
18	2.424411832
19	2.396966956
20	2.371024906
21	2.341333942
22	2.314074919
23	2.288787029
24	2.267361158
25	2.244667237
26	2.226325109
27	2.204050403
28	2.184156937
29	2.166939179
30	2.150427693
31	2.134212304
32	2.118765182
33	2.104771333
34	2.091430688
35	2.0788152
36	2.066244494
37	2.053882292
38	2.040609153
39	2.029692174
40	2.017240748
41	2.003488527
42	1.991608519
43	1.979408979
44	1.96756705
45	1.956273541
46	1.946629476
47	1.936772171
48	1.926421654
49	1.919091271
50	1.911360215
51	1.903703413
52	1.896396144
53	1.890863516
54	1.88290515
55	1.877602799
56	1.872390814
57	1.865176328
58	1.858647564
59	1.851928694
60	1.848250435
61	1.842703013
62	1.837174236
63	1.833900378
64	1.829086258
65	1.822752663
66	1.817346424
67	1.811765257
68	1.809045577
69	1.801744975
70	1.797650606
71	1.794192216
72	1.788312909
73	1.784387689
74	1.779633987
75	1.775979319
76	1.77132757
77	1.767081369
78	1.765049452
79	1.760697373
80	1.756619365
81	1.75253958
82	1.749568397
83	1.745980437
84	1.743198926
85	1.741488668
86	1.739675933
87	1.737958216
88	1.735680313
89	1.73267637
90	1.727751575
91	1.724388496
92	1.720889608
93	1.71802295
94	1.715832143
95	1.712902275
96	1.709682757
97	1.70707166
98	1.705414575
99	1.702948466
100	1.701002511
101	1.698711013
102	1.697864565
103	1.695741089
104	1.694226659
105	1.693911878
106	1.692964584
107	1.690196173
108	1.687720541
109	1.68579604
110	1.683704123
111	1.680433939
112	1.679061776
113	1.676542302
114	1.672740916
115	1.671680289
116	1.669199458
117	1.666784042
118	1.663316132
119	1.660988484
120	1.659580711
121	1.657822847
122	1.656170527
123	1.653855927
124	1.650904247
125	1.648703386
126	1.64715176
127	1.645669188
128	1.642974864
129	1.641486617
130	1.6400936
131	1.638786571
132	1.637024416
133	1.635123066
134	1.633954633
135	1.63209304
136	1.629193661
137	1.627948997
138	1.626555509
139	1.625580718
140	1.62374587
141	1.62248407
142	1.62083111
143	1.618862453
144	1.617702739
145	1.617326128
146	1.615345567
147	1.614184291
148	1.611641141
149	1.609218664
150	1.606937358
151	1.604514259
152	1.60315337
153	1.6016244
154	1.600523108
155	1.599342545
156	1.597590023
157	1.595654276
158	1.594470319
159	1.593181566
160	1.591113674
161	1.589384345
162	1.587232536
163	1.585678508
164	1.584698989
